b' soitgoes foia confirms electronic surveillance amp undercover cops operating within occupy chicago amp thr tactics used ag\xe2\x80\xa6',Negative
b' everytown realdonaldtrump chicagoans get carry permits defend themselves\xe2\x80\xa6',Positive
b' throughout march april current high school sophomores interested career public safety attend one o\xe2\x80\xa6',Neutral
b' livelifefreed secondcitycop crobinbench javonnibrustow chicagopolice fox32news sakimfoxx your\xe2\x80\xa6',Negative
b' thenextmartha 10pm chicago midway airport reports made lyft midway airport chicago police one contact\xe2\x80\xa6',Negative
b' abc7chicago buffalo grove police said 3yearold boy reported missing friday afternoon found safe chicago h\xe2\x80\xa6',Negative
b' yes need stand bullies mob surrounds chicago police officer forces r\xe2\x80\xa6',Neutral
b' meechiemoves secondcitycop livelifefreed crobinbench chicagopolice fox32news sakimfoxx you\xe2\x80\x99re day 3\xe2\x80\xa6',Negative
b' buffalo grove police said 3yearold boy reported missing friday afternoon found safe chicago\xe2\x80\xa6',Neutral
b' livelifefreed crobinbench secondcitycop javonnibrustow chicagopolice fox32news sakimfoxx fac\xe2\x80\xa6',Negative
b' secondcitycop livelifefreed crobinbench javonnibrustow chicagopolice fox32news sakimfoxx livelifefreed you\xe2\x80\xa6',Negative
b' shestokas kimfoxx made mess cook county states attorneys office chicagotribune smollett fo\xe2\x80\xa6',Negative
b' chicago police detective sean clary returns active duty knife injury get assignment turn\xe2\x80\xa6',Negative
b' charlie morgan 67 retired police officer chicago said \xe2\x80\x9ci\xe2\x80\x99m disgusted democrats ever since bret\xe2\x80\xa6',Negative
b' chicago police infiltrated spied antinato organizers natcounterpunch',Negative
b' jussie smollett kim foxx make filing false police report legal chicago trending via pjmediacom',Negative
b' naveenm14993552 syr98009620 inkmonkey3 palanin classicbuyers ramsrini3 khantastix sushmaswaraj\xe2\x80\xa6',Negative
b' lady10314 tgthrweremember 8yrs office nothing help african ams country fl\xe2\x80\xa6',Negative
b' marymar28207884 obama white house chief staff colluded prosecutor amp chicago police jussie smollett probe wanted fbi tak\xe2\x80\xa6',Negative
b' cbschicago missing boy logan lamer 3 reported missing buffalo grove police said believe walked back door\xe2\x80\xa6',Negative
b' ropebelt ddale8 targeting chicago racist tactic trump look white gun owners violent felony records ha\xe2\x80\xa6',Negative
b' raferweigel confirmed chicagopolice conceal carry permit holder fatally shoots carjacker attempting steal car c\xe2\x80\xa6',Negative
b' smells big time judge rips chicago prosecutor kimfoxxs office charging woman filing false p\xe2\x80\xa6',Negative
b' chicagotribune one takes chicago police seriously including jessie smollett',Negative
b' jussie smollett kim foxx make filing false police report legal chicago',Negative
b' clovewilliams livepd giveaway reach 1500 followers 1200am sunday give away following 2 random followers\xe2\x80\xa6',Negative
b' techtomm dloesch lol personal experience understand bootlicker plenty cases show police miscon\xe2\x80\xa6',Negative
b' dlalanje pleasure dep chief eric carter amp district commander ernest cato chicagopolice join us hillbrow t\xe2\x80\xa6',Negative
b' chicagoreporter bpopetv analysis chicago paid police misconduct settlements last year year since least 2011 br\xe2\x80\xa6',Negative
b' suntimes police said incident appears accidental one cited charged',Neutral
b' dirtylungs please everyone read careful walk alone anywhere sad br\xe2\x80\xa6',Negative
b' lisagray220 sakimfoxx cookcountysao state attorney chicago kim foxx dropped felony charges jussie smollett fo\xe2\x80\xa6',Negative
b' ilsendems senatorvanpelt maybe calling sakimfoxx actually prosecute criminal crook coun\xe2\x80\xa6',Negative
b' 1550myrtleave sakimfoxx cookcountysao see ur office tried charge someone falsifying police report not\xe2\x80\xa6',Negative
b' missing boy logan lamer 3 reported missing buffalo grove police said believe walked ba\xe2\x80\xa6',Negative
b' aaroncynic criminalization protest targeting leftist organizers absolutely nothing new trove documents foiad\xe2\x80\xa6',Negative
b' chicago police concealed carry permit holder fatally shoots man allegedly tried carjack gunpoint t\xe2\x80\xa6',Negative
b' pardesseleh nothing new hundreds people killed chicagoblack black crime black lives mat\xe2\x80\xa6',Negative
b' concealed carry permit holder fatally shoots attempted carjacker chicago police read more\xe2\x80\xa6',Negative
b' mattdpearce chicago paid 662 million settlements police misconduct 2004 2016',Negative
b' deborah villiers give swatch one united states america united states president also\xe2\x80\xa6',Negative
b' lorencehud world desperately needs honest men like chicago police superintendent eddie johnson please listen superinten\xe2\x80\xa6',Negative
b' concealed carry permit holder fatally shoots attempted carjacker chicago police',Negative
b' thefcyo nocopacademy lost final vote changed narrative police spending amp building longterm community safety a\xe2\x80\xa6',Negative
b' corner grilllights blink police car turned',Neutral
b' robelgasabc7 correct answer homicides first 3 months year nearly 40 compared last year according to\xe2\x80\xa6',Neutral
b' criminalization protest targeting leftist organizers absolutely nothing new trove documen\xe2\x80\xa6',Negative
b' plussone chicago police infiltrated antinato summit organizing coalition shortly 2011 formation maintained in\xe2\x80\xa6',Negative
b' smells big time judge rips chicago prosecutor kim foxxs office charging woman filing false p\xe2\x80\xa6',Negative
b' two charged dui separate incidents lincolnwood police chicago tribune',Neutral
b' salihcavdar34 bearsoutreach hsasouthwest chicagocaps09 chicagobears chicagopolice nfllegends advocatehealth advocatekids adv\xe2\x80\xa6',Negative
b' suntimes four months parents allegedly beat death police called aj freunds home noticed large bruise the\xe2\x80\xa6',Negative
b' 12 years',Neutral
b' concealed carry holder fatally shoots attempted carjacker crash chicago loop keepamericasafe 2a\xe2\x80\xa6',Negative
b' drugs badbehavior dui saturation patrol deering 9th district chicago police department cond\xe2\x80\xa6',Negative
b' great reporting freund family\xe2\x80\x99s troubled history told court records police reports state child wel\xe2\x80\xa6',Neutral
b' karms78 debraraes matosortho shestokas cubs cookcountysao chicagopolice cwbchicago claim smollett defense',Negative
b' drugs badbehavior dui saturation patrol deering 9th district chicago police department cond\xe2\x80\xa6',Negative
b' thisisandydahn it\xe2\x80\x99s easter sunday two chicago police officers never forget help deliver baby city\xe2\x80\x99s south si\xe2\x80\xa6',Negative
b' dailymail judge rips chicago prosecutor kim foxxs office charging woman filing false police report letting jussie sm\xe2\x80\xa6',Negative
b' chicago jussie smollett kim foxx make filing false police report legal chicago\xe2\x80\xa6',Negative
b' newsatw wouldbe carjacker fatally shot concealedcarry holder south loop wouldbe carjacker fatally s\xe2\x80\xa6',Negative
b' foia confirms electronic surveillance amp undercover cops operating within occupy chicago amp thr tactics wer\xe2\x80\xa6',Neutral
b' chicagotribune chicago police arrested man connection batch drugs laced potent painkiller fentanyl w\xe2\x80\xa6',Negative
